Area	ID
საქართველო	
ქ. თბილისი	
გლდანის რაიონი	10
დიდუბის რაიონი	8
ვაკის რაიონი	2
ისნის რაიონი	5
კრწანისის რაიონი	4
მთაწმინდის რაიონი	1
ნაძალადევის რაიონი	9
საბურთალოს რაიონი	3
სამგორის რაიონი	6
ჩუღურეთის რაიონი	7
აჭარის ავტონომიური რესპუბლიკა	
ქ. ბათუმი	79
ქედის მუნიციპალიტეტი	80
ქობულეთის მუნიციპალიტეტი	81
შუახევის მუნიციპალიტეტი	82
ხელვაჩაურის მუნიციპალიტეტი	83
ხულოს მუნიციპალიტეტი	84
გურია  	
ქ. ოზურგეთი	60
ლანჩხუთის მუნიციპალიტეტი	61
ოზურგეთის მუნიციპალიტეტი	60
ჩოხატაურის მუნიციპალიტეტი	62
იმერეთი	
ქ. ქუთაისი	59
ბაღდათის მუნიციპალიტეტი 	52
ვანის მუნიციპალიტეტი	53
ზესტაფონის მუნიციპალიტეტი	51
თერჯოლის მუნიციპალიტეტი	49
სამტრედიის მუნიციპალიტეტი	54
საჩხერის მუნიციპალიტეტი	50
ტყიბულის მუნიციპალიტეტი	57
წყალტუბოს მუნიციპალიტეტი	58
ჭიათურის მუნიციპალიტეტი 	56
ხარაგაულის მუნიციპალიტეტი	48
ხონის მუნიციპალიტეტი	55
კახეთი 	
ქ. თელავი	17
ახმეტის მუნიციპალიტეტი	18
გურჯაანის მუნიციპალიტეტი	12
დედოფლისწყაროს მუნიციპალიტეტი	14
თელავის მუნიციპალიტეტი	17
ლაგოდეხის მუნიციპალიტეტი	15
საგარეჯოს მუნიციპალიტეტი	11
სიღნაღის მუნიციპალიტეტი 	13
ყვარლის მუნიციპალიტეტი	16
მცხეთა-მთიანეთი	
ქ. მცხეთა	27
დუშეთის მუნიციპალიტეტი	28
თიანეთის მუნიციპალიტეტი	19
მცხეთის  მუნიციპალიტეტი	27
ყაზბეგის მუნიციპალიტეტი	29
რაჭა-ლეჩხუმი და ქვემო სვანეთი	
ქ. ამბროლაური	44
ამბროლაურის მუნიციპალიტეტი	44
ლენტეხის მუნიციპალიტეტი	46
ონის მუნიციპალიტეტი	43
ცაგერის მუნიციპალიტეტი	45
სამეგრელო-ზემო სვანეთი	
ქ. ზუგდიდი	67
ქ. ფოთი	70
აბაშის მუნიციპალიტეტი	63
ზუგდიდის მუნიციპალიტეტი	67
მარტვილის მუნიციპალიტეტი	65
მესტიის მუნიციპალიტეტი	47
სენაკის მუნიციპალიტეტი	64
ჩხოროწყუს მუნიციპალიტეტი	69
წალენჯიხის მუნიციპალიტეტი	68
ხობის მუნიციპალიტეტი	66
სამცხე-ჯავახეთი	
ქ. ახალციხე	37
ადიგენის მუნიციპალიტეტი 	38
ასპინძის მუნიციპალიტეტი	39
ახალქალაქის მუნიციპალიტეტი	40
ახალციხის მუნიციპალიტეტი	37
ბორჯომის მუნიციპალიტეტი	36
ნინოწმინდის მუნიციპალიტეტი 	41
ქვემო ქართლი   	
ქ. რუსთავი 	20
ბოლნისის მუნიციპალიტეტი	23
გარდაბნის მუნიციპალიტეტი	21
დმანისის მუნიციპალიტეტი 	24
თეთრი წყაროს მუნიციპალიტეტი	26
მარნეულის მუნიციპალიტეტი	22
წალკის მუნიციპალიტეტი	25
შიდა ქართლი	
ქ. გორი	32
გორის მუნიციპალიტეტი	32
კასპის მუნიციპალიტეტი	30
ქარელის მუნიციპალიტეტი	33
ხაშურის მუნიციპალიტეტი	35
