"","ID","Georgian","PopTot"
"1",1,0.944446709614287,49052
"2",2,0.969607606587848,111903
"3",3,0.954467012773209,138493
"4",4,0.757776307081403,39286
"5",5,0.812897062335801,125610
"6",6,0.867608690762691,177844
"7",7,0.917675915989575,65230
"8",8,0.960652974949299,70018
"9",9,0.951261464168187,154067
"10",10,0.943492049160901,177214
"11",11,0.66215876818454,51761
"12",12,0.987467103447007,54337
"13",13,0.981234139174569,29948
"14",14,0.921068752650676,21221
"15",15,0.720476030519699,41678
"16",16,0.944312200355383,29827
"17",17,0.90203941730934,58350
"18",18,0.791901083881631,31461
"19",19,0.994719053654415,9468
"20",20,0.92889059415042,125103
"21",21,0.541917045287996,81876
"22",22,0.0852444870565676,104300
"23",23,0.31696211979847,53590
"24",24,0.332009821848388,19141
"25",25,0.469573982704653,18849
"26",26,0.831637241444597,21127
"27",27,0.977581863979849,7940
"28",28,0.983163802174676,25659
"29",29,0.994202898550725,3795
"30",30,0.891914738068584,43771
"31",32,0.984080132387105,125692
"32",33,0.958514861070772,41316
"33",35,0.99133129289204,52603
"34",36,0.915285159038629,25214
"35",37,0.68386682092814,38895
"36",38,0.974851172397036,16462
"37",39,0.865888931739298,10372
"38",40,0.0665853117372975,45070
"39",41,0.0366665305622474,24491
"40",43,0.994453507340946,6130
"41",44,0.997139281244413,11186
"42",45,0.998555887166651,10387
"43",46,0.996347865784068,4381
"44",47,0.997101760412194,9316
"45",48,0.997637754840035,19473
"46",49,0.99685065939319,35563
"47",50,0.997882197220384,37775
"48",51,0.996755049628653,57628
"49",52,0.997590584746548,21582
"50",53,0.997796997389034,24512
"51",54,0.982084757629422,48562
"52",55,0.996817988969028,23570
"53",56,0.996289238792498,39884
"54",57,0.991506310283603,20839
"55",58,0.995042455566689,56883
"56",59,0.992203745724252,147635
"57",60,0.975231853395479,62863
"58",61,0.987994664295242,31486
"59",62,0.996210725751276,19001
"60",63,0.996553421959626,22341
"61",64,0.995510945223444,39652
"62",65,0.99748976481487,33463
"63",66,0.995842608354066,30548
"64",67,0.995507492251846,105509
"65",68,0.995947702423733,26158
"66",69,0.997310502487785,22309
"67",70,0.97448450500422,41465
"68",79,0.939452626620169,152839
"69",80,0.998926014319809,16760
"70",81,0.97363424873653,74794
"71",82,0.980922626960915,15044
"72",83,0.992732813690441,51189
"73",84,0.990268787242251,23327
